timestamp,lat,lon,altitude,fix_quality,num_sats,hdop,speed,heading,satellite_id,elevation,azimuth,snr,producer_timestamp,signal_drop,satellite_loss,lat_diff,lon_diff,position_drift,anomaly_detected,anomaly_type
,,,,,,,,,2,,,0.16690000000000002,2025-12-03T09:47:56.001099Z,true,false,0.0,0.0,false,true,SIGNAL_DROP
,,,,,,,,,2,,,0.16690000000000002,2025-12-03T09:47:56.053070Z,true,false,0.0,0.0,false,true,SIGNAL_DROP
,,,,,,,,,3,,,0.2768,2025-12-03T09:47:56.156822Z,true,false,0.0,0.0,false,true,SIGNAL_DROP
,,,,,,,,,4,,,-0.48140000000000005,2025-12-03T09:47:56.418484Z,true,false,0.0,0.0,false,true,SIGNAL_DROP
,,,,,,,,,4,,,-0.48140000000000005,2025-12-03T09:47:56.470907Z,true,false,0.0,0.0,false,true,SIGNAL_DROP
